Dataset,ImageFileName,Human1 Caption,Human2 Caption,Human3 Caption
CVQA,image_460.jpg,"The picture shows a wooden stand with four shelves. On each shelf are placed 3 ceramic plates by Horezu from Romania. Horezu pottery making is a unique traditional craft. It is practiced by both men and women from the Vâlcea area. Men are the ones who extract the clay and later process it, women decorate the objects using different traditional patterns, colors like brown, green, yellow, white are used. The entire technological process is done by hand, and each product is unique. These plates are used in households, but can also be given as gifts.",This is a picture of traditional clay pots. The pots are hand-painted with geometric shapes such as lines and circles. They are hung directly on the wall or placed on a shelf. They are often used for wall decorations in Romanian countryside households.,"These are traditional plates, painted by hand with parents that are often seen in historical Romanian villages. The patterns that are used on these plates usually consist of geometric shapes or flowers. The picture shows 12 plates, 10 of them with the white background, and two with a black background. The plates are on shelves, likely used as a decoration in a house, or possibly in a museum."
CVQA,image_978.jpg,"Saint Michael's Roman Catholic Church in Cluj. It is a historical and religious monument located in the central area of ​​Cluj, in Piața Unirii. It is one of the most representative monuments of Gothic architecture in Transylvania. The clock tower is built in neo-Gothic style, being the highest church tower in Romania. The church hosts symphony concerts and organ recitals. It is often visited by locals, but also by foreign tourists.","This is a picture of a famous church in Cluj-Napoca, Romania called ""Sfântul Mihail"" or Saint Michael. It is a historic church known for its Gothic style architecture. The church is located next to the main square in Cluj-Napoca, which is called ""Piata Unirii"" or Union Square.","This is the catholic cathedral in the city of Cluj-Napoca. it is one of the two large cathedrals in the cities, with the other cathedral being orthodox. The cathedral is open for visits, and there are also religious services that are held. It is one of the tallest buildings in the city, and it can be seen from far away. The cathedral is in the middle of one of the largest plazas in the city."
CVQA,image_570.jpg,"Babos Palace in Cluj. It is one of the emblematic buildings of the city of Cluj. Very rewarding, it is located on Regele Ferdinand street, near the Great Bridge that crosses the Someș. It was built in the early 1890s and is named after the first owner Babos Sandor.","This is a picture of a famous palace in Cluj-Napoca, Romania. The palace is called ""Palatul Babos"" or Babos Palace. It is a historic monment in a belle epoque style architecture. The church is next to a main square in Cluj-Napoca, called ""Piata Mihai Viteazu"" or Michael the Brave Square.","This is a picture taken in the city center of Cluj-Napoca. It shows several of the old buildings in the city, along with one of the largest intersections. Many of these buildings currently have shops. The street shown in the image goes toward a bridge over the Somes River. "
CVQA,image_983.jpg,"A basket of painted eggs for Easter. The basket is made of reeds and also contains some figurines representing a ladybug and two newly hatched chicks. Also in the basket is some hay (dry grass). Everything is a symbol of the spring that comes with the Easter holiday. It is often prepared by housewives in Romania, in anticipation of the big holiday.","This is a picture of colorful Easter eggs in a basket, next to some toys. The eggs are usually painted red during the Easter holiday in Romania. The color red symbolizes Jesus's blood, as Easter is a deeply religious holiday for Romanians. The eggs are boiled for a long time and then used in a game where two people knock their eggs, and the egg that doesn't break wins.","The image shows a basket with several painted eggs, which is a tradition during Easter. Six of the eggs are red, there is also a yellow egg, and a blue egg. Some of the red eggs show some leaf patterns, which is the traditional way of painting eggs, where green leaves are put on the egg and inside a nylon sock, and then boiled in water with onion red leaves to get the red color."
CVQA,image_723.jpg,"The picture shows the biggest room in the country. Traditional handmade carpet on the wall and two national shirts. The bed is covered with a hand-woven quilt, it has black and white colors. On the bed are small round pillows of different colors, red, pink, yellow, sewn by hand. There are two wooden icons. We also have some hand-crocheted miles and some hand-made dolls, the wool fork prepared by housewives to be spun. A basket with traditional painted eggs and many wooden objects for household use. This whole painting is specific to the tradition from the Moldavian area.","This is a picture of a traditional room or museum in Romania. There are traditional wool woven carpets with geometric motifs on the wall. There are also two traditional blouses called ""ie"", one for females and the other for males. Additionally, there are two religious icons, as most Romanians are Christian Orthodox. The room contains a bed with many traditional dolls, cutlery, and pillows. The white window curtain also has very intricate flower patterns. The item on the left of the image is a spinning tool called ""fus"", which is used to twist yarn to make traditional clothes or rugs.","This is an image likely taken in a museum, showing several traditionally Romanian items. On the left, there are two blouses that are usually worn by women, and are sewed by hand. The image also shows multiple wood items used to wash clothes and also some items used for cooking. On the right, there is a device that is used to transform the wool from the sheep into yarn. The wall covers and the bed cover are also sewed by hand."
CVQA,image_391.jpg,"Brașov Council House. The building is located in the center of Brașov in the square with the same name. It is the former town hall of the city and dates back to 1420. Here in the past the capital sentences of the condemned were pronounced. On the Council House there is the only color coat of arms of Brașov. It is one of the important tourist attractions of the city. Nearby is the decorated Christmas tree, as a symbol of the winter holidays.","This is a picture of ""Piata Sfatului"", also known as Council Square, in Brasov, Romania. It is a historic downtown area of Brasov. The tree in the middle is decorated with Christmas balls, indicating that the picture was taken during the winter holidays. The most significant building in the square is the former Council House (Casa Sfatului), which was built in 1420 and is located in the middle of the square. The square is also famous for its 18th- and 19th-century colorful houses, most of which are historical monuments.","This is the city center of a Romanian city, showing a cathedral, a Plata, along with several buildings menu of which have shops in the middle of the plaza, there is a very big Christmas tree, decorated with colorful globes. On the left side, right by the cathedral, there is a Christmas market, consisting of several wooden seasonal shops. The picture is taken during the day, and there are many people walking across the plaza."
CVQA,image_759.jpg,"A donut with cheese in the middle. It is a Romanian food product. It is also called langoustine. It is prepared from high-quality wheat flour, kneaded together with yeast and put to leaven. They are fried in oil.  It's a quick snack even on the street.","This is a picture of a ""langos"" or donut. It is a typical Hungarian food also eaten in western parts of Romania. ""Langos"" is a deep-fried flatbread usually served with sour cream and grated cheese. The name ""langos"" meaning flamed comes from baking these flatbreads in the morning while the oven was still heating up.","This is a ""gogoasa"" (fried dough) with cheese, which someone is holding in their hand. They also have several napkins in their hand, which are often given, since this is a greasy food. These ""gogoasa"" are usually served worm, and people can often see how they are made, in a pot with hot oil. "
CVQA,image_197.jpg,"The State Theater in Oradea. The Queen Maria State Theater building is one of the emblematic architectural monuments of the city of Oradea. The construction was finished in 1900, according to a project by an architectural firm from Vienna. It is located in King Ferdinand Square. In front of the theater are two allegorical statues; representing Drama and Comedy.","This is a picture of an ice rink in Oradea, Romania, taken during winter. The building with columns is the Oradea State Theatre, also known as the Queen Mary Theatre or ""Teatrul Regina Maria"". It is located on Ferdinand Square in the heart of the city.","The picture is taken in the center of the Oradea city, one of the larger cities in northwest Romania. The right side of the picture shows the state theater, with both Romanian and Hungarian descriptions, which is typical for this side of a country given the large Hungarian minority in addition to Romanians. In front of the theater, there is a skating surface, which suggests that the picture was taken during winter."
CVQA,image_112.jpg,"Corvinor Castle from Hunedoara. Also called the Huniazi Castle, the medieval fortress of Hunedoara is one of the most important monuments of Gothic architecture in Romania. It is considered one of the most beautiful castles in the world, being located in the top fairytale destination in Europe.  It has dual functionality, civic and military.  The castle was built in the XV by Iancu de Hunedoara. It is an imposing construction with bastion towers and a keep. It underwent several restorations and was turned into a museum.","This is a picture of ""Castelul Corvinilor"", also known as Corvin Castle, located in Hunedoara, Romania. The castle, considered one of the largest in Europe, is famous in Romania. It features gothic-renaissance architecture and was built in 1446 by Ioan de Hunedoara, a voivode of Transylvania.","This is an image of Corvin Castle, also known as Castelul Corvinilor, located in Hunedoara, Romania. Built in 1446 by Ioan de Hunedoara, a voivode of Transylvania, this castle is one of the largest in Europe. Renowned for its Gothic-Renaissance architecture, it holds significant cultural and historical importance in Romania."
CVQA,image_654.jpg,"Ion Creanga. Writer teacher and Romanian deacon. He is known for his autobiography Childhood Memories but also for his short stories and short stories. Born in Humulesti, Jud. German from a family of Romanian peasants. It makes a special contribution to fantasy and children's literature, as well as fairy tales that paint the picture of autolithic values. His writings are masterpieces of the Romanian language and humor. Accustomed to the simple life, the writer grew up in an environment where the tradition was that of transmitting oral folklore and local traditions.","This is a picture of Ion Creangă, one of the greatest writers of Romania. He is a main figure in 19th-century Romanian literature. He is best known for his ""Amintiri din copilarie"" or ""Childhood Memories"" volume, his novellas and short stories, and his many anecdotes. Creangă's main contribution to fantasy and children's literature includes narratives structured around  protagonists such as ""Harap Alb"", ""Ivan Turbincă"", and ""Dănilă Prepeleac"". His work strongly influenced Romanian culture, and his tales are widely studied in Romanian public schools.","This is an image of Ion Creangă, one of Romania's most celebrated writers and a key figure in 19th-century Romanian literature. Creangă's notable contributions to fantasy and children's literature include stories centered around characters like ""Harap Alb,"" ""Ivan Turbincă,"" and ""Dănilă Prepeleac."" His work has had a lasting impact on Romanian culture and is widely studied in Romanian schools."
CVQA,image_447.jpg,"Two muffins and a tray of pasta. Products specific to the Easter holiday. Easter has raisins on top and a cross specific to the Romanian Easter holidays. They are placed on a popular Romanian wiper. Both products are made from high-quality white flour, the cake can be filled with walnut, poppy or shit. Easter is made with cheese before Easter, on the night of resurrection, these products are taken to the church for sanctification. It is eaten on Easter, after the end of the fast.","This is a picture of traditional Easter food in Romania. It shows two cozonaci and one pasca. Pasca is round and is often filled with cheese or sour cream and raisins. This Pasca has a cross symbol, as Easter is a religious holiday for Romanians, and this food is often taken to the church to be blessed. The cozonac is often filled with cocoa and Turkish delight. The food is placed on top of two traditional towels with red and white motifs. The picture was taken in a kitchen, most likely during Easter.","This image shows traditional Romanian Easter food: two cozonaci and a pasca. The round pasca, decorated with a cross, is filled with cheese, sour cream, and raisins, symbolizing Easter's religious significance. Cozonac is often filled with cocoa or Turkish delight. The food is set on two traditional towels with red and white patterns, likely photographed in a kitchen during Easter."
CVQA,image_56.jpg,"Different models of cabins. Costume worn at winter holidays by children. The caiuțu represents vitality and strength, it is a dance full of passion. It suggests man's connection with nature. The mask has a head and neck carved from wood and covered with a white cloth decorated with beads, tinsel mirror or wool tassels. During the dance, children also wear red caps decorated with beads and wool tassels.","This image displays a museum exhibition known as ""Caiutii,"" or little horses. It represents a North Moldavian Romanian tradition where the horse was initially associated with fertility in the Carpatho-Danube region, but has now largely transformed into a dance for entertainment. The horse head mask is crafted from lightweight wood, sometimes encased in straw, linen, or cotton wool, and then covered with white, red, or black cloth to achieve the desired shape. When the wood is left unadorned, it is typically painted white with the eyes and mouth outlined in dark colors. The head is embellished with beads, while the eyes can be made of pegs, buttons, beads, or mirrors. Additionally, numerous ribbons are attached.","Various cabin models are featured alongside costumes worn by children during winter holidays. The ""caiuțu"" dance, symbolizing vitality and strength, reflects a deep connection between humans and nature. The mask, with a wooden head and neck, is covered in white cloth and adorned with beads, tinsel, mirrors, and wool tassels. Children wear red caps similarly decorated with beads and tassels during the energetic dance."
CVQA,image_573.jpg,"Painted eggs at the Easter holidays. Different models specific to geographical areas. The dyeing of Easter eggs is an ancient Romanian tradition. In Romanian popular tradition, Easter eggs are considered a symbol of regeneration and purification, the rebirth of nature. The dyeing of eggs is practiced exclusively by women a week before Easter. Several colors are used: white, red yellow, blue. Each color has a specific symbol. The lines painted on the eggs symbolize eternity.","This image depicts hand-painted eggs that are part of a Romanian Easter tradition. These eggs are showcased in a museum. The tradition of decorating eggs dates back to pagan times and is practiced in Central and Eastern Europe. Although there are similarities in the decorated eggs across different nations, each country has its own variations in traditions, color preferences, motifs, and techniques. In Romania, the most commonly used colors for egg painting are red, white, and black, often featuring geometric shapes.","This image shows hand-painted eggs, part of Romania's Easter tradition, displayed in a museum. The practice, dating back to pagan times and shared across Central and Eastern Europe, varies by country in colors, motifs, and techniques. In Romania, red, white, and black are commonly used, with geometric patterns being a popular design choice."
CVQA,image_286.jpg,"Belly soup. Of oriental origin, belly soup is one of the most prepared soups in Romanian cuisine. Preparing the belly is very important, which is also the main ingredient. Vegetables are also used, and at the end it is soured and thickened with eggs and cream.","This is a picture of ""ciorba de burta"" or tripe soup. Tripe Soup is a traditional Romanian soup made with beef tripe, garlic, sour cream, eggs, and vinegar. Romanians have many different types of “ciorba,” and they are actually soups made sour by the addition of vinegar or lemon juice.","The image is of a very common Romanian dish. The dish, ciorbă de burtă, is a soup that contains the belly of a pig. It is very commonly served for lunch and dinner in Romania, and is made for special occasions, such as Christmas or simply for a meal, and can be found at most Romanian restaurants. In the image there is a spoon holding up the meat in the soup. Underneath the bowl there is a white and red tablecloth."
CVQA,image_396.jpg,The Palace of the Parliament of Bucharest in Romania. Before the revolution of 1989 it is known as the House of the Republic or the House of the People. It is the third largest administrative building in the world and the second most expensive architectural project in the world. It is built on Spirii hill in Bucharest. It is a symbol of Romanian history and culture. It was built in the Golden Age according to a plan by Nicolaie Ceaușescu.,"This is a picture of ""Casa Poporului"" or the Palace of Parliament, located in Bucharest, the capital of Romania. The palace is famous as the world's heaviest and most expensive administrative building. Originally named the House of the Republic during construction, the palace became widely known as The People's House after the Romanian Revolution of December 1989. The construction of the Palace of the Parliament was proposed by dictator Nicolae Ceaușescu, inspired by North Korean ideology.","This image shows the Palace of Parliament, or ""Casa Poporului,"" in Bucharest, Romania. Known as the world's heaviest and most expensive administrative building, it was originally called the House of the Republic. After the 1989 Romanian Revolution, it became known as The People's House. Its construction was initiated by dictator Nicolae Ceaușescu, inspired by North Korean ideology."
GD-VCR,west_88.jpg,A means of public transport stopped at a station. The driver driving the vehicle is waiting for passengers to board. One person is already getting on the bus and two other people are already on their seats in the bus.,This image depicts a child boarding a school bus in the US while the bus driver waits.,"The picture shows the frontside of a school bus, likely somewhere in the United States, where the yellow/orange color is the typical color for school buses. The front door is open, and the driver is sitting on his driver seat, apparently reading a newspaper. A man has attempted to go up the stairs into the bus, but he felt on one of his knees."
GD-VCR,west_18.jpg,The picture shows a child who was sleeping and is woken up by his parents. The mother removing the mask from her mouth and trying to soothe the child. The father who took off his mask and tries to talk to the child.,"This image depicts three people: one child, one nurse and another person. The child is in bed sick, while the other two are caring for him.","This is a scene from an older time, as suggested by the old style furniture, and the way the people are dressed. A child lies in a bed, and a woman and a man are attending to him. The man in particular seems worried. The woman is trying to either dress or undress the child in the bed."
GD-VCR,west_37.jpg,"A carriage drawn by a horse, which is driven by a visitor. There are two other people in the carriage, a man and a woman. All three people have light-colored overcoats and hats. Traces of snow are visible. It's a sign of winter. The woman is very attentive, even curious, she seems to have noticed something special.",The image depicts three people in a horse carriage Two people are inside the carriage and one person is controlling the horse. The people are wearing coats.,"There is a carriage pulled by a horse, the typical means of transportation from last century. There is a man and a woman in the carriage, and there is also a man who is driving the horse. The people in the image are all dressed with clothing from last century. There appears to be snow on the ground, suggesting that the scene is taking place sometime during the winter."
GD-VCR,west_4.jpg,A boy holding a lighted candle leaning on a sage. There are many women around him. One of them carefully holds a puppy in her arms. The room is dark and the people are very attentive.,The image depicts a group of people. THe person in the middle is holding a candle to light the room.,"The image is of what appears to be a home or orphanage during the night. There is somebody like a housekeeper holding a long candle standing in the middle of the room who is surrounded by many women onlooking him fearfully. He is speaking to a woman who is older, and they are engaged in a conversation while the girls around them cower. One of the women is holding a dog. This is probably taken in the 1900s, as suggested by the candle as a form of lighting."
GD-VCR,west_21.jpg,"There are two men in the picture, one is older. This one has a pipe and a shotgun. They are dressed in plaid shirts and jackets. The older man wears a cap and the other a hat. It is in nature. One of the people heard a noise. They are very careful.",The picture depicts two men. The older man is smoking a pipe and the younger man is carrying a pistol. Both men wear suits and hats.,"The image is of two men speaking to each other. The man on the right, who is younger, has shoulder length hair and a hat. He is holding a gun and is looking off into the distance and explaining something. The older man to the left, who is wearing an older hat with a hookah in his mouth is looking at the younger man on the right as if bewildered at what he is saying."
GD-VCR,west_51.jpg,In the picture there are two men who have a floral ornament in front of them. Both are dressed in event attire. One is very attentive to the smell of flowers. There are other people who admire floral ornaments.,The picture depicts two men eating at a buffet at a party. The men are wearing suits.,"The image is taken at a formal event of some kind, as suggested by the formal wear of those in attendance. Most people are wearing black dresses or suits, other than the man who is wearing a white suit. He is standing before a table with carefully arranged flowers and fruits, and also a variety of platters of foods. The man in the white suit is in the act of bringing a piece of food up to his mouth hungrily."
GD-VCR,west_36.jpg,"The picture is taken in a restaurant car of a train. There are two people at a table, two men. The older man presents the young man with the drink he is about to serve. The young man is very attentive to the presentation. There are several bottles of drink on the table.",The picture shows two men sitting in a train. They are wearing suits and are having drinks at a table.,"The image is taken inside of a restaurant. There is a man who is sitting down at the table dressed formally in suit and tie with a wine glass before him. In front of him, there is a server dressed formally with a suit and white gloves who is showing the man (the customer) something. Behind them there are a variety of more tables in the restaurant, and to the right of him there are multiple bottles of wines or dressings. The man is considering the object the server is presenting to him."
GD-VCR,west_101.jpg,"The picture is taken at an event, where people from high society participate, as well as the common people. Two high society people are engaged in a discussion. All the eyes of those in the hall are directed curiously at the wife of the youngest.",The picture shows a group of people at a party. They are wearing dresses and suits. ,"The image is of a social event of some sort in the 1900s, as suggested by the clothing of the people. The women are wearing 1900 style dresses with their hair done up, and the men are all wearing suits and formal attire, for this formal event. In the middle of the image there is a man walking with an older man, and the pair are engaged in a deep conversation."
GD-VCR,west_84.jpg,"The picture is taken in a studio, where a dance competition is taking place. There are two dancers judged by three people: one woman and two men. The jury is delighted with the evolution of the two dancers.","The picture shows a TV scene. Two people are dancing, competing in front of other three people who are part of a jury.","The image is on a show of some sort. To the left there are three judges sitting before what appears to be buzzers on the table before them. There are many different colored lights surrounding them, all for reality television. Performing there are two people, one man and one woman. The woman is dressed in frilly red dancing attire, and is leaning backwards mid dance while the man holds her wrists and dances with her. These types of shows are very common, and the judges judge the performance and review them in a variety of ways."
GD-VCR,west_58.jpg,"There are three people in the picture, men playing the guitar. The instruments are new, so it follows that the persons in question do not play regularly, but only on certain occasions.",The picture shows three poeple playing the guitar and singing. They are sitting on some chairs outside.,"The image is of three men playing guitars. They are all dressed colorfully, the man on the right sporting blue pants, patterned socks and a pattern shirt, the man in the middle in jean overalls and the man on the left in a square pattern suit. They're all wearing hats, and they're all sitting down on a bench or a seat. They are all holding guitars and appear to be playing together. Behind them there is a blue and white brick wall, which has been signed by many people."
GD-VCR,west_60.jpg,The picture is taken in nature on a river. Several people ride on certain boats. These are very crowded. People have a beach outfit. They are waiting in line to board. They are happy and relaxed.,The picture shows a large group of people at a party. The party is on a boat and the people are in swimsuits.,"The image is taken outside during the summer on a lake. There are multiple ships, which are full of people, including women wearing bikinis and men with their hands up celebrating. It appears to be a party, with many people wearing beachwear such as flower necklaces and bikinis and swimwear. Many people are holding their hands up as if at a party. Behind the lake, there is a beach with a lot of sand and a hill and trees. These type of beach parties are very common in the United States where this picture is most likely taken."
GD-VCR,west_23.jpg,The picture is taken at a skating rink. People in the stands of the rink are watching a hockey game. On the ice is a hockey player skating. The people in the stands are paying attention to the game.,The picture shows a group of people watching a hockey match from the hockey arena.,"The image is taken at a hockey game. On the ice, behind a piece of glass, there is a hockey player with the jersey number 16 skating away. To the right, there are many spectators on the game, including a woman who appears to be in the action of speaking to somebody in a more aggravated manner. During games, such as hockey games, the crowd tends to be very active in their viewing of the game. "
GD-VCR,west_86.jpg,"American rodeo, a sport in which a cowboy must ride a horse or bull. It is an extremely dangerous sport. Shown are slots four, five, and six, where the waiting contestants are.",The picture shows a group of people ready to compete in a bull ride in the arena. They are wearing cowboy hats.,"The image is of a bull wrangling competition. There are many people in the crowd behind it, wearing cowboy hats and southern clothing. There are also advertisements for things such as Coca-Cola and Dodge. There are three ball wrangling pens, numbered four through six. Once the competition starts, these three pens will open and out of them a man riding a bull will come out. The last man to remain on his bull wins the competition. These bull riding competitions are common in southern states and countryside rural areas in the United States."
